XX,00,01,02,03,04,05,06,07,08,09,0A,0B,0C,0D,0E,0F
**00**,68,8D,CA,4D,73,4B,4E,2A,D4,52,26,B3,54,1E,19,1F
**01**,22,03,46,3D,2D,4A,53,83,13,8A,B7,D5,25,79,F5,BD
**02**,58,2F,0D,02,ED,51,9E,11,F2,3E,55,5E,D1,16,3C,66
**03**,70,5D,F3,45,40,CC,E8,94,56,08,CE,1A,3A,D2,E1,DF
**04**,B5,38,6E,0E,E5,F4,F9,86,E9,4F,D6,85,23,CF,32,99
**05**,31,14,AE,EE,C8,48,D3,30,A1,92,41,B1,18,C4,2C,71
**06**,72,44,15,FD,37,BE,5F,AA,9B,88,D8,AB,89,9C,FA,60
**07**,EA,BC,62,0C,24,A6,A8,EC,67,20,DB,7C,28,DD,AC,5B
**08**,34,7E,10,F1,7B,8F,63,A0,05,9A,43,77,21,BF,27,09
**09**,C3,9F,B6,D7,29,C2,EB,C0,A4,8B,8C,1D,FB,FF,C1,B2
**0A**,97,2E,F8,65,F6,75,07,04,49,33,E4,D9,B9,D0,42,C7
**0B**,6C,90,00,8E,6F,50,01,C5,DA,47,3F,CD,69,A2,E2,7A
**0C**,A7,C6,93,0F,0A,06,E6,2B,96,A3,1C,AF,6A,12,84,39
**0D**,E7,B0,82,F7,FE,9D,87,5C,81,35,DE,B4,A5,FC,80,EF
**0E**,CB,BB,6B,76,BA,5A,7D,78,0B,95,E3,AD,74,98,3B,36
**0F**,64,6D,DC,F0,59,A9,4C,17,7F,91,B8,C9,57,1B,E0,61
